bombus_spp,host_plant
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
impatiens,solidago
impatiens,solidago
bimaculatus ,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,solidago
vagans,solidago
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,NA
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,solidago
impatiens,jewel weed
impatiens,jewel weed
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,saint johns wort
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,jewel weed
impatiens,saint johns wort
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,thistle
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,jewel weed
impatiens,jewel weed
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,saint johns wort
impatiens,jewel weed
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,saint johns wort
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,jewel weed
impatiens,crown vetch
impatiens,dandelion
impatiens,crown vetch
impatiens,flight
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,flight
fervidus,red clover
impatiens,dandelion
impatiens,dandelion
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,jewel weed
impatiens,jewel weed
impatiens,jewel weed
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,dandelion
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,dandelion
impatiens,flight
impatiens,flight
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,knot weed
impatiens,woody yellow 
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,dandelion
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,flight
impatiens,flight
impatiens,red clover
impatiens,flight
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,flight 
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,flight
impatiens,flight
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,mint
impatiens,mint
impatiens,dandelion
impatiens,crown vetch
impatiens,red clover
impatiens,dandelion
impatiens,saint johns wort
impatiens,flight
impatiens,red clover
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,flight
impatiens,crown vetch
impatiens,crown vetch
impatiens,dandelion
impatiens,flight
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,NA
impatiens,jewel weed
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,dandelion
vagans,dandelion
impatiens,crown vetch
impatiens,woody yellow 
impatiens,saint johns wort
impatiens,crown vetch
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,saint johns wort
impatiens,violet 
impatiens,red clover
impatiens,red clover
impatiens,red clover
bimaculatus,flight
bimaculatus,violet 
impatiens,mint
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,crown vetch
impatiens,saint johns wort
ternarius,dandelion
bimaculatus,violet
impatiens,red clover
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
impatiens,solidago
impatiens,knot weed
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,birdsfoot
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,knot weed
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
impatiens,solidago
impatiens,solidago
bimaculatus ,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,solidago
vagans,solidago
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,NA
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,solidago
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,solidago
impatiens,red clover
impatiens,solidago
impatiens,jewel weed
impatiens,jewel weed
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,saint johns wort
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,jewel weed
impatiens,saint johns wort
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,thistle
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,jewel weed
impatiens,jewel weed
impatiens,crown vetch
impatiens,red clover
impatiens,solidago
impatiens,saint johns wort
impatiens,jewel weed
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,saint johns wort
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,jewel weed
impatiens,crown vetch
impatiens,dandelion
impatiens,crown vetch
impatiens,flight
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,flight
fervidus,red clover
impatiens,dandelion
impatiens,dandelion
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,jewel weed
impatiens,jewel weed
impatiens,jewel weed
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,dandelion
impatiens,solidago
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,dandelion
impatiens,flight
impatiens,flight
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,knot weed
impatiens,woody yellow 
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,dandelion
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,crown vetch
impatiens,flight
impatiens,flight
impatiens,red clover
impatiens,flight
impatiens,crown vetch
impatiens,red clover
impatiens,crown vetch
impatiens,flight 
impatiens,red clover
impatiens,red clover
impatiens,jewel weed
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,flight
impatiens,flight
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,mint
impatiens,mint
impatiens,dandelion
impatiens,crown vetch
impatiens,red clover
impatiens,dandelion
impatiens,saint johns wort
impatiens,flight
impatiens,red clover
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,jewel weed
impatiens,flight
impatiens,crown vetch
impatiens,crown vetch
impatiens,dandelion
impatiens,flight
impatiens,crown vetch
impatiens,crown vetch
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,NA
impatiens,jewel weed
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,red clover
impatiens,dandelion
impatiens,red clover
impatiens,red clover
impatiens,crown vetch
impatiens,dandelion
vagans,dandelion
impatiens,crown vetch
impatiens,woody yellow 
impatiens,saint johns wort
impatiens,crown vetch
impatiens,dandelion
impatiens,dandelion
impatiens,red clover
impatiens,dandelion
impatiens,saint johns wort
impatiens,violet 
impatiens,red clover
impatiens,red clover
impatiens,red clover
bimaculatus,flight
bimaculatus,violet 
impatiens,mint
impatiens,flight
impatiens,dandelion
impatiens,red clover
impatiens,flight
impatiens,dandelion
impatiens,crown vetch
bombus_spp,host_plant
impatiens,solidago
impatiens,crown vetch
impatiens,crown vetch
